description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,7.16
ADV ENERGY INDS,USD,EASYGE,3.26
QUANTA SERVICES,USD,EASYGE,2.99
CAMECO CORP,USD,EASYGE,2.04
CARPENTER TECH,USD,EASYGE,1.56
ELBIT SYSTEMS,USD,EASYGE,1.86
NVIDIA CORP,USD,EASYGE,5.58
GRAHAM CORP,USD,EASYGE,2.61
KRATOS DEFENSE &,USD,EASYGE,0.57
ALLEGHENY TECH,USD,EASYGE,1.61
MICRON TECH,USD,EASYGE,4.31
ARGAN INC,USD,EASYGE,4.54
FORMFACTOR INC,USD,EASYGE,4.84
CIENA CORP,USD,EASYGE,5.50
INTERACTIVE BROK,USD,EASYGE,1.18
NEBIUS GROUP NV,USD,EASYGE,1.80
META PLATFORMS-A,USD,EASYGE,1.92
KRAKEN ROBOTICS INC,USD,EASYGE,0.50
BLOOM ENERGY C-A,USD,EASYGE,5.92
NLIGHT INC,USD,EASYGE,2.24
Howmet Aerospace Inc,USD,EASYGE,1.51
VERTIV HOLDINGS,USD,EASYGE,3.57
GENERAL ELECTRIC,USD,EASYGE,1.72
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,2.81
APPLOVIN CO-CL A,USD,EASYGE,1.21
COHERENT CORP,USD,EASYGE,5.68
ROBINHOOD MARK-A,USD,EASYGE,0.87
GE VERNOVA LLC,USD,EASYGE,2.09
KARMAN HOLDINGS INC,USD,EASYGE,1.10
LUMENTUM HOL,USD,EASYGE,10.3
BWX TECHNOLOGIES,USD,EASYGE,0.83
INAV - USD.CASH,USD,EASYGE,5.62
INAV - ZAR.CASH,ZAR,EASYGE,0.47
